"agency","site_no","Date","month","HydrologicEvent","SampleFraction","Inorganic_N","Nitrate","Mixed_N","TP","Temperature","TSS","Turbidity"
"21NC01WQ","J1290000",1972-05-25,"May",NA," ",NA,NA,NA,NA,1162.5,NA,NA
"21NC01WQ","J1290000",1972-07-24,"Jul",NA," ",NA,NA,NA,NA,1517,NA,NA
"21NC01WQ","J1290000",1973-08-14,"Aug",NA," ",NA,NA,NA,NA,1456.5,NA,NA
"21NC01WQ","J1290000",1974-11-05,"Nov",NA," ",NA,NA,NA,NA,1162.5,NA,NA
"21NC01WQ","J1290000",1975-01-10,"Jan",NA," ",NA,NA,NA,NA,1628.5,NA,NA
"21NC01WQ","J1290000",1975-01-10,"Jan",NA,"Total",NA,NA,NA,NA,NA,NA,1158
"21NC01WQ","J1290000",1975-02-05,"Feb",NA," ",NA,NA,NA,NA,1457,NA,NA
"21NC01WQ","J1330000",1968-08-19,"Aug",NA," ",NA,NA,NA,NA,1530,NA,NA
"21NC01WQ","J1330000",1968-08-28,"Aug",NA," ",NA,NA,NA,NA,1307.5,NA,NA
"21NC01WQ","J1330000",1969-07-14,"Jul",NA," ",NA,NA,NA,NA,1376,NA,NA
"21NC01WQ","J1330000",1969-08-21,"Aug",NA," ",NA,NA,NA,NA,1394.5,NA,NA
"21NC01WQ","J1330000",1970-07-07,"Jul",NA," ",NA,NA,NA,NA,1376,NA,NA
"21NC01WQ","J1330000",1970-08-31,"Aug",NA," ",NA,NA,NA,NA,1517,NA,NA
"21NC01WQ","J1330000",1970-11-17,"Nov",NA," ",NA,NA,NA,NA,1055,NA,NA
"21NC01WQ","J1330000",1970-11-17,"Nov",NA,"Total",NA,NA,NA,NA,NA,NA,1348
"21NC01WQ","J1330000",1971-04-20,"Apr",NA," ",NA,NA,NA,NA,1307.5,NA,NA
"21NC01WQ","J1330000",1971-06-28,"Jun",NA," ",NA,NA,NA,NA,1441.5,NA,NA
"21NC01WQ","J1330000",1971-08-04,"Aug",NA," ",NA,NA,NA,NA,1530,NA,NA
"21NC01WQ","J1330000",1971-09-08,"Sep",NA," ",NA,NA,NA,NA,1327.5,NA,NA
"21NC01WQ","J1330000",1972-05-25,"May",NA," ",NA,NA,NA,NA,1162.5,NA,NA
"21NC01WQ","J1330000",1972-07-24,"Jul",NA," ",NA,NA,NA,NA,1517,NA,NA
"21NC01WQ","J1330000",1973-08-14,"Aug",NA," ",NA,NA,NA,NA,1441.5,NA,NA
"21NC01WQ","J1330000",1974-02-28,"Feb",NA," ",NA,NA,NA,NA,1628.5,NA,NA
"21NC01WQ","J1330000",1974-09-25,"Sep",NA," ",NA,NA,NA,NA,1162.5,NA,NA
"21NC01WQ","J1330000",1974-10-08,"Oct",NA," ",NA,NA,NA,NA,1140,NA,NA
"21NC01WQ","J1330000",1974-10-08,"Oct",NA,"Total",NA,NA,NA,NA,NA,NA,502
"21NC01WQ","J1330000",1974-11-05,"Nov",NA," ",NA,NA,NA,NA,1240.5,NA,NA
"21NC01WQ","J1330000",1974-12-05,"Dec",NA," ",NA,NA,NA,NA,1692,NA,NA
"21NC01WQ","J1330000",1974-12-05,"Dec",NA,"Total",NA,NA,NA,NA,NA,NA,928
"21NC01WQ","J1330000",1975-01-10,"Jan",NA," ",NA,NA,NA,NA,1628.5,NA,NA
"21NC01WQ","J1330000",1975-01-10,"Jan",NA,"Total",NA,NA,NA,NA,NA,NA,1188
"21NC01WQ","J1330000",1975-01-21,"Jan",NA," ",NA,NA,NA,NA,1356,NA,NA
"21NC01WQ","J1330000",1975-02-05,"Feb",NA," ",NA,NA,NA,NA,1523.5,NA,NA
"21NC01WQ","J1330000",1975-02-26,"Feb",NA," ",NA,NA,NA,NA,992.5,NA,NA
"21NC01WQ","J1330000",1975-03-06,"Mar",NA," ",NA,NA,NA,NA,1015.5,NA,NA
"21NC01WQ","J1330000",1975-03-12,"Mar",NA," ",NA,NA,NA,NA,963,NA,NA
"21NC01WQ","J1330000",1975-03-17,"Mar",NA," ",NA,NA,NA,NA,1628.5,NA,NA
"21NC01WQ","J1330000",1975-03-25,"Mar",NA," ",NA,NA,NA,NA,1059,NA,NA
"21NC01WQ","J1330000",1975-04-07,"Apr",NA," ",NA,NA,NA,NA,1140,NA,NA
"21NC01WQ","J1330000",1975-05-12,"May",NA," ",NA,NA,NA,NA,1254.5,NA,NA
"21NC01WQ","J1330000",1975-08-25,"Aug",NA," ",NA,NA,NA,NA,1327.5,NA,NA
"21NC01WQ","J1330000",1975-09-22,"Sep",NA," ",NA,NA,NA,NA,1254.5,NA,NA
"21NC01WQ","J1330000",1975-09-22,"Sep",NA,"Total",NA,NA,NA,NA,NA,NA,778
"21NC01WQ","J1330000",1975-11-20,"Nov",NA," ",NA,NA,NA,NA,1001.5,NA,NA
"21NC01WQ","J1330000",1975-11-20,"Nov",NA,"Total",NA,NA,NA,NA,NA,NA,1070
"21NC01WQ","J1330000",1976-01-15,"Jan",NA," ",NA,NA,NA,NA,1356,NA,NA
"21NC01WQ","J1330000",1976-01-15,"Jan",NA,"Total",NA,NA,NA,NA,NA,NA,1779
"21NC01WQ","J1330000",1976-02-04,"Feb",NA," ",NA,NA,NA,NA,1628.5,NA,NA
"21NC01WQ","J1330000",1976-03-15,"Mar",NA," ",NA,NA,NA,NA,992.5,NA,NA
"21NC01WQ","J1330000",1976-03-15,"Mar",NA,"Total",NA,NA,NA,NA,NA,NA,888
"21NC01WQ","J1330000",1976-04-29,"Apr",NA," ",NA,NA,NA,NA,1254.5,NA,NA
"21NC01WQ","J1330000",1976-04-29,"Apr",NA,"Total",NA,NA,NA,NA,NA,NA,548
"21NC01WQ","J1330000",1976-05-26,"May",NA," ",NA,NA,NA,NA,1095,NA,NA
"21NC01WQ","J1330000",1976-05-26,"May",NA,"Total",NA,NA,NA,NA,NA,NA,778
"21NC01WQ","J1330000",1976-06-21,"Jun",NA," ",NA,NA,NA,NA,1376,NA,NA
"21NC01WQ","J1330000",1976-06-21,"Jun",NA,"Total",NA,NA,NA,NA,NA,NA,787
"21NC01WQ","J1330000",1976-07-20,"Jul",NA," ",NA,NA,NA,NA,1376,NA,NA
"21NC01WQ","J1330000",1976-07-20,"Jul",NA,"Total",NA,NA,NA,NA,NA,NA,778
"21NC01WQ","J1330000",1976-08-10,"Aug",NA," ",NA,NA,NA,NA,1456.5,NA,NA
"21NC01WQ","J1330000",1976-08-10,"Aug",NA,"Total",NA,NA,NA,NA,NA,NA,778
"21NC01WQ","J1330000",1976-09-30,"Sep",NA," ",NA,NA,NA,NA,1327.5,NA,NA
"21NC01WQ","J1330000",1976-10-19,"Oct",NA," ",NA,NA,NA,NA,992.5,NA,NA
"21NC01WQ","J1330000",1976-10-19,"Oct",NA,"Total",NA,NA,NA,NA,NA,NA,1273
"21NC01WQ","J1330000",1976-11-23,"Nov",NA," ",NA,NA,NA,NA,1523.5,NA,NA
"21NC01WQ","J1330000",1976-11-23,"Nov",NA,"Total",NA,NA,NA,NA,NA,NA,1070
"21NC01WQ","J1330000",1976-12-01,"Dec",NA," ",NA,NA,NA,NA,1523.5,NA,NA
"21NC01WQ","J1330000",1976-12-01,"Dec",NA,"Total",NA,NA,NA,NA,NA,NA,778
"21NC01WQ","J1330000",1977-01-27,"Jan",NA," ",NA,NA,NA,NA,1439,NA,NA
"21NC01WQ","J1330000",1977-02-22,"Feb",NA," ",NA,NA,NA,NA,1439,NA,NA
"21NC01WQ","J1330000",1977-02-22,"Feb",NA,"Total",NA,NA,NA,NA,NA,NA,778
"21NC01WQ","J1330000",1977-03-10,"Mar",NA," ",NA,NA,NA,NA,992.5,NA,NA
"21NC01WQ","J1330000",1977-03-10,"Mar",NA,"Total",NA,NA,NA,NA,NA,NA,888
"21NC01WQ","J1330000",1977-04-21,"Apr",NA," ",NA,NA,NA,NA,1235.5,NA,NA
"21NC01WQ","J1330000",1977-04-21,"Apr",NA,"Total",NA,NA,NA,NA,NA,NA,1070
"21NC01WQ","J1330000",1977-05-31,"May",NA," ",NA,NA,NA,NA,1254.5,NA,NA
"21NC01WQ","J1330000",1977-05-31,"May",NA,"Total",NA,NA,NA,NA,NA,NA,1070
"21NC01WQ","J1330000",1977-07-12,"Jul",NA," ",NA,NA,NA,NA,1517,NA,NA
"21NC01WQ","J1330000",1977-07-12,"Jul",NA,"Total",NA,NA,NA,NA,NA,NA,1070
"21NC01WQ","J1330000",1977-08-16,"Aug",NA," ",NA,NA,NA,NA,1441.5,NA,NA
"21NC01WQ","J1330000",1977-08-16,"Aug",NA,"Total",NA,NA,NA,NA,NA,NA,778
"21NC01WQ","J1330000",1977-09-14,"Sep",NA," ",NA,NA,NA,NA,1327.5,NA,NA
"21NC01WQ","J1330000",1977-09-14,"Sep",NA,"Total",NA,NA,NA,NA,NA,NA,1273
"21NC01WQ","J1330000",1977-10-06,"Oct",NA," ",NA,NA,NA,NA,1095,NA,NA
"21NC01WQ","J1330000",1977-10-06,"Oct",NA,"Total",NA,NA,NA,NA,NA,NA,401
"21NC01WQ","J1330000",1977-11-03,"Nov",NA," ",NA,NA,NA,NA,1140,NA,NA
"21NC01WQ","J1330000",1977-11-03,"Nov",NA,"Total",NA,NA,NA,NA,NA,NA,1273
"21NC01WQ","J1330000",1977-12-07,"Dec",NA," ",NA,NA,NA,NA,1439,NA,NA
"21NC01WQ","J1330000",1978-01-26,"Jan",NA," ",NA,NA,NA,NA,1207.5,NA,NA
"21NC01WQ","J1330000",1978-01-26,"Jan",NA,"Total",NA,NA,NA,NA,NA,NA,830
"21NC01WQ","J1330000",1978-02-21,"Feb",NA," ",NA,NA,NA,NA,1439,NA,NA
"21NC01WQ","J1330000",1978-02-21,"Feb",NA,"Total",NA,NA,NA,NA,NA,NA,1911
"21NC01WQ","J1330000",1978-03-28,"Mar",NA," ",NA,NA,NA,NA,977.75,NA,NA
"21NC01WQ","J1330000",1978-03-28,"Mar",NA,"Total",NA,NA,NA,NA,NA,NA,419
"21NC01WQ","J1330000",1978-04-12,"Apr",NA," ",NA,NA,NA,NA,1140,NA,NA
"21NC01WQ","J1330000",1978-04-12,"Apr",NA,"Total",NA,NA,NA,NA,NA,NA,778
"21NC01WQ","J1330000",1978-05-25,"May",NA," ",NA,NA,NA,NA,1376,NA,NA
"21NC01WQ","J1330000",1978-06-21,"Jun",NA," ",NA,NA,NA,NA,1376,NA,NA
"21NC01WQ","J1330000",1978-06-21,"Jun",NA,"Total",NA,NA,NA,NA,NA,NA,778
"21NC01WQ","J1330000",1978-07-12,"Jul",NA," ",NA,NA,NA,NA,1307.5,NA,NA
"21NC01WQ","J1330000",1978-07-12,"Jul",NA,"Total",NA,NA,NA,NA,NA,NA,1423
"21NC01WQ","J1330000",1978-08-16,"Aug",NA," ",NA,NA,NA,NA,1422,NA,NA
"21NC01WQ","J1330000",1978-08-16,"Aug",NA,"Total",NA,NA,NA,NA,NA,NA,1273
"21NC01WQ","J1330000",1978-10-11,"Oct",NA," ",NA,NA,NA,NA,1015.5,NA,NA
"21NC01WQ","J1330000",1978-11-20,"Nov",NA," ",NA,NA,NA,NA,992.5,NA,NA
"21NC01WQ","J1330000",1978-12-11,"Dec",NA," ",NA,NA,NA,NA,935,NA,NA
"21NC01WQ","J1330000",1979-01-24,"Jan",NA," ",NA,NA,NA,NA,1523.5,NA,NA
"21NC01WQ","J1330000",1979-02-13,"Feb",NA," ",NA,NA,NA,NA,1207.5,NA,NA
"21NC01WQ","J1330000",1979-03-20,"Mar",NA," ",NA,NA,NA,NA,1034,NA,NA
"21NC01WQ","J1330000",1979-04-18,"Apr",NA," ",NA,NA,NA,NA,1095,NA,NA
"21NC01WQ","J1330000",1979-05-05,"May",NA," ",NA,NA,NA,NA,1162.5,NA,NA
"21NC01WQ","J1330000",1979-05-08,"May",NA," ",NA,NA,NA,NA,1351,NA,NA
"21NC01WQ","J1330000",1979-07-13,"Jul",NA," ",NA,NA,NA,NA,1381.5,NA,NA
"21NC01WQ","J1330000",1979-08-07,"Aug",NA," ",NA,NA,NA,NA,1517,NA,NA
"21NC01WQ","J1330000",1979-09-17,"Sep",NA," ",NA,NA,NA,NA,1254.5,NA,NA
"21NC01WQ","J1330000",1979-10-10,"Oct",NA," ",NA,NA,NA,NA,1055,NA,NA
"21NC01WQ","J1330000",1979-11-27,"Nov",NA," ",NA,NA,NA,NA,1059,NA,NA
"21NC01WQ","J1330000",1979-12-03,"Dec",NA," ",NA,NA,NA,NA,1439,NA,NA
"21NC01WQ","J1330000",1980-01-15,"Jan",NA," ",NA,NA,NA,NA,992.5,NA,NA
"21NC01WQ","J1330000",1980-02-04,"Feb",NA," ",NA,NA,NA,NA,1356,NA,NA
"21NC01WQ","J1330000",1980-03-28,"Mar",NA," ",NA,NA,NA,NA,1055,NA,NA
"21NC01WQ","J1330000",1980-03-28,"Mar",NA,"Total",NA,NA,NA,NA,NA,NA,778
"21NC01WQ","J1330000",1980-04-08,"Apr",NA," ",NA,NA,NA,NA,1095,NA,NA
"21NC01WQ","J1330000",1980-04-08,"Apr",NA,"Total",NA,NA,NA,NA,NA,NA,1469
"21NC01WQ","J1330000",1980-05-13,"May",NA," ",NA,NA,NA,NA,1376,NA,NA
"21NC01WQ","J1330000",1980-05-13,"May",NA,"Total",NA,NA,NA,NA,NA,NA,401
