"agency_cd.x","site_no.x","Date","X_00060_00003.x","X_00060_00003_cd.x","agency_cd.y","site_no.y","X_00060_00003.y","X_00060_00003_cd.y"
"USGS","02086849",2008-05-23,18.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-24,17.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-25,15.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-26,14.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-27,15.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-28,30,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-29,21.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-30,15.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-05-31,15.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-01,56.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-02,40,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-03,16.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-04,14.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-05,13.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-06,13,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-07,12.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-08,12.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-09,12.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-10,11.6,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-11,11.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-12,11.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-13,11.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-14,10.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-15,12.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-16,11.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-17,19.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-18,11.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-19,12.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-20,8.62,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-21,14.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-22,64.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-23,34.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-24,13.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-25,12.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-26,11.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-27,10.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-28,15,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-29,16.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-06-30,415,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-01,25.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-02,18.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-03,15.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-04,46.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-05,194,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-06,358,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-07,133,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-08,33.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-09,67.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-10,48.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-11,39.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-12,20.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-13,18.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-14,29.2,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-15,17.5,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-16,14.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-17,14.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-18,13.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-19,33.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-20,40.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-21,16,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-22,14.9,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-23,14.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-24,16,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-25,13.1,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-26,12.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-27,13.4,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-28,20.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-29,13.3,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-30,11.8,"A",NA,NA,NA,NA
"USGS","02086849",2008-07-31,11.7,"A",NA,NA,NA,NA
"USGS","02086849",2008-08-01,16.3,"A","USGS","0208675010",0.7,"A"
"USGS","02086849",2008-08-02,11.5,"A","USGS","0208675010",0.4,"A"
"USGS","02086849",2008-08-03,10.7,"A","USGS","0208675010",0.34,"A"
"USGS","02086849",2008-08-04,11,"A","USGS","0208675010",0.32,"A"
"USGS","02086849",2008-08-05,11,"A","USGS","0208675010",0.29,"A"
"USGS","02086849",2008-08-06,10.8,"A","USGS","0208675010",0.29,"A"
"USGS","02086849",2008-08-07,11.3,"A","USGS","0208675010",0.27,"A"
"USGS","02086849",2008-08-08,10.7,"A","USGS","0208675010",0.26,"A"
"USGS","02086849",2008-08-09,10.9,"A","USGS","0208675010",0.25,"A"
"USGS","02086849",2008-08-10,43.4,"A","USGS","0208675010",3.72,"A"
"USGS","02086849",2008-08-11,22.1,"A","USGS","0208675010",0.76,"A"
"USGS","02086849",2008-08-12,16.3,"A","USGS","0208675010",0.61,"A"
"USGS","02086849",2008-08-13,14.5,"A","USGS","0208675010",0.55,"A"
"USGS","02086849",2008-08-14,16.9,"A","USGS","0208675010",0.62,"A"
"USGS","02086849",2008-08-15,14.3,"A","USGS","0208675010",0.83,"A"
"USGS","02086849",2008-08-16,20.8,"A","USGS","0208675010",0.85,"A"
"USGS","02086849",2008-08-17,14.8,"A","USGS","0208675010",0.6,"A"
"USGS","02086849",2008-08-18,20,"A","USGS","0208675010",0.47,"A"
"USGS","02086849",2008-08-19,14.6,"A","USGS","0208675010",0.42,"A"
"USGS","02086849",2008-08-20,13.9,"A","USGS","0208675010",0.72,"A"
"USGS","02086849",2008-08-21,30.3,"A","USGS","0208675010",1.27,"A"
"USGS","02086849",2008-08-22,13.3,"A","USGS","0208675010",0.63,"A"
"USGS","02086849",2008-08-23,11.3,"A","USGS","0208675010",0.53,"A"
"USGS","02086849",2008-08-24,11,"A","USGS","0208675010",0.73,"A"
"USGS","02086849",2008-08-25,15.2,"A","USGS","0208675010",0.62,"A"
"USGS","02086849",2008-08-26,13.6,"A","USGS","0208675010",0.48,"A"
"USGS","02086849",2008-08-27,316,"A","USGS","0208675010",246,"A"
"USGS","02086849",2008-08-28,408,"A","USGS","0208675010",41.1,"A"
"USGS","02086849",2008-08-29,77.8,"A","USGS","0208675010",1.4,"A"
"USGS","02086849",2008-08-30,19.7,"A","USGS","0208675010",0.91,"A"
"USGS","02086849",2008-08-31,81.6,"A","USGS","0208675010",1.27,"A"
"USGS","02086849",2008-09-01,19.1,"A","USGS","0208675010",1.11,"A"
"USGS","02086849",2008-09-02,16.4,"A","USGS","0208675010",0.87,"A"
"USGS","02086849",2008-09-03,15.5,"A","USGS","0208675010",0.72,"A"
"USGS","02086849",2008-09-04,14.7,"A","USGS","0208675010",0.64,"A"
"USGS","02086849",2008-09-05,16,"A","USGS","0208675010",1.2,"A"
"USGS","02086849",2008-09-06,1700,"A e","USGS","0208675010",694,"A"
"USGS","02086849",2008-09-07,350,"A e","USGS","0208675010",3.22,"A"
"USGS","02086849",2008-09-08,150,"A e","USGS","0208675010",1.85,"A"
"USGS","02086849",2008-09-09,60,"A e","USGS","0208675010",1.56,"A"
"USGS","02086849",2008-09-10,45,"A e","USGS","0208675010",2.06,"A"
"USGS","02086849",2008-09-11,35,"A e","USGS","0208675010",1.66,"A"
"USGS","02086849",2008-09-12,33,"A e","USGS","0208675010",1.39,"A"
"USGS","02086849",2008-09-13,25,"A e","USGS","0208675010",1.22,"A"
"USGS","02086849",2008-09-14,21,"A e","USGS","0208675010",1.12,"A"
"USGS","02086849",2008-09-15,175,"A","USGS","0208675010",1.05,"A"
"USGS","02086849",2008-09-16,298,"A","USGS","0208675010",15.6,"A"
"USGS","02086849",2008-09-17,141,"A","USGS","0208675010",2.65,"A"
"USGS","02086849",2008-09-18,86,"A","USGS","0208675010",1.68,"A"
"USGS","02086849",2008-09-19,47,"A","USGS","0208675010",1.46,"A"
"USGS","02086849",2008-09-20,22.4,"A","USGS","0208675010",1.3,"A"
"USGS","02086849",2008-09-21,14.4,"A","USGS","0208675010",1.14,"A"
"USGS","02086849",2008-09-22,13.9,"A","USGS","0208675010",1.06,"A"
"USGS","02086849",2008-09-23,11.5,"A","USGS","0208675010",1.11,"A"
"USGS","02086849",2008-09-24,12.7,"A","USGS","0208675010",1.15,"A"
"USGS","02086849",2008-09-25,11.4,"A","USGS","0208675010",1.2,"A"
"USGS","02086849",2008-09-26,720,"A","USGS","0208675010",227,"A"
"USGS","02086849",2008-09-27,105,"A","USGS","0208675010",5.07,"A"
"USGS","02086849",2008-09-28,59.6,"A","USGS","0208675010",3.37,"A"
"USGS","02086849",2008-09-29,38.2,"A","USGS","0208675010",2.31,"A"
"USGS","02086849",2008-09-30,28.1,"A","USGS","0208675010",1.97,"A"
"USGS","02086849",2008-10-01,39,"A e","USGS","0208675010",2.9,"A"
"USGS","02086849",2008-10-02,21,"A e","USGS","0208675010",1,"A e"
"USGS","02086849",2008-10-03,19,"A e","USGS","0208675010",0.67,"A e"
"USGS","02086849",2008-10-04,18.5,"A","USGS","0208675010",0.65,"A e"
"USGS","02086849",2008-10-05,18.4,"A","USGS","0208675010",0.62,"A e"
"USGS","02086849",2008-10-06,17.8,"A","USGS","0208675010",0.3,"A e"
"USGS","02086849",2008-10-07,17.5,"A","USGS","0208675010",0.26,"A e"
"USGS","02086849",2008-10-08,16.7,"A","USGS","0208675010",0.55,"A e"
"USGS","02086849",2008-10-09,17.9,"A","USGS","0208675010",0.53,"A e"
"USGS","02086849",2008-10-10,18.5,"A","USGS","0208675010",0.51,"A"
"USGS","02086849",2008-10-11,18.5,"A","USGS","0208675010",0.48,"A"
"USGS","02086849",2008-10-12,17.6,"A","USGS","0208675010",0.26,"A"
"USGS","02086849",2008-10-13,17.1,"A","USGS","0208675010",0.55,"A"
"USGS","02086849",2008-10-14,16.4,"A","USGS","0208675010",0.46,"A"
