"agency","site_no","Date","HydrologicEvent","CharacteristicName","SampleFraction","Units","value","month","agency_cd","Discharge","D.Approval.Code","Gage.Height","GH.Approval.Code","Location"
"21NC01WQ","J1270000",1977-09-13,NA,"Temperature, water"," ","deg C",19,"Sep",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-09-15,NA,"Temperature, water"," ","deg C",23,"Sep",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-09-20,NA,"Temperature, water"," ","deg C",24,"Sep",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-09-22,NA,"Temperature, water"," ","deg C",21.5,"Sep",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-09-27,NA,"Temperature, water"," ","deg C",23.5,"Sep",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-09-29,NA,"Temperature, water"," ","deg C",18.5,"Sep",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1330000",1968-08-19,NA,"Temperature, water"," ","deg C",31,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1968-08-28,NA,"Temperature, water"," ","deg C",22,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1969-07-14,NA,"Temperature, water"," ","deg C",25,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1969-08-21,NA,"Temperature, water"," ","deg C",26,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1970-07-07,NA,"Temperature, water"," ","deg C",25,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1970-08-31,NA,"Temperature, water"," ","deg C",30,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1970-11-17,NA,"Temperature, water"," ","deg C",15,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1971-04-20,NA,"Temperature, water"," ","deg C",22,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1971-06-28,NA,"Temperature, water"," ","deg C",28,"Jun",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1971-08-04,NA,"Temperature, water"," ","deg C",31,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1971-09-08,NA,"Temperature, water"," ","deg C",23,"Sep",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1972-05-25,NA,"Temperature, water"," ","deg C",19,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1972-07-24,NA,"Temperature, water"," ","deg C",30,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1973-08-14,NA,"Temperature, water"," ","deg C",28,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1974-02-28,NA,"Temperature, water"," ","deg C",8,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1974-09-25,NA,"Temperature, water"," ","deg C",19,"Sep",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1974-10-08,NA,"Temperature, water"," ","deg C",18,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1974-11-05,NA,"Temperature, water"," ","deg C",20.5,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1974-12-05,NA,"Temperature, water"," ","deg C",9,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1975-01-10,NA,"Temperature, water"," ","deg C",8,"Jan",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1975-01-21,NA,"Temperature, water"," ","deg C",5,"Jan",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1975-02-05,NA,"Temperature, water"," ","deg C",7,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1975-02-26,NA,"Temperature, water"," ","deg C",12,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1975-03-06,NA,"Temperature, water"," ","deg C",13,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1975-03-12,NA,"Temperature, water"," ","deg C",11,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1975-03-17,NA,"Temperature, water"," ","deg C",8,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1975-03-25,NA,"Temperature, water"," ","deg C",15.5,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1975-04-07,NA,"Temperature, water"," ","deg C",18,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1975-05-12,NA,"Temperature, water"," ","deg C",21,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1975-08-25,NA,"Temperature, water"," ","deg C",23,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1975-09-22,NA,"Temperature, water"," ","deg C",21,"Sep",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1975-11-20,NA,"Temperature, water"," ","deg C",12.5,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1976-01-15,NA,"Temperature, water"," ","deg C",5,"Jan",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1976-02-04,NA,"Temperature, water"," ","deg C",8,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1976-03-15,NA,"Temperature, water"," ","deg C",12,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1976-04-29,NA,"Temperature, water"," ","deg C",21,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1976-05-26,NA,"Temperature, water"," ","deg C",16,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1976-06-21,NA,"Temperature, water"," ","deg C",25,"Jun",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1976-07-20,NA,"Temperature, water"," ","deg C",25,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1976-08-10,NA,"Temperature, water"," ","deg C",29,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1976-09-30,NA,"Temperature, water"," ","deg C",23,"Sep",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1976-10-19,NA,"Temperature, water"," ","deg C",12,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1976-11-23,NA,"Temperature, water"," ","deg C",7,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1976-12-01,NA,"Temperature, water"," ","deg C",7,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1977-01-27,NA,"Temperature, water"," ","deg C",6,"Jan",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1977-02-22,NA,"Temperature, water"," ","deg C",6,"Feb",NA,NA,NA,NA,NA,"Downstream"
