"agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"USGS","0208675010",2009-06-04,4.39,"A"
"USGS","0208675010",2009-06-05,129,"A"
"USGS","0208675010",2009-06-06,7.59,"A"
"USGS","0208675010",2009-06-07,2.11,"A"
"USGS","0208675010",2009-06-08,1.44,"A"
"USGS","0208675010",2009-06-09,18.8,"A e"
"USGS","0208675010",2009-06-10,68.7,"A e"
"USGS","0208675010",2009-06-11,4.19,"A"
"USGS","0208675010",2009-06-12,9.07,"A"
"USGS","0208675010",2009-06-13,1.59,"A"
"USGS","0208675010",2009-06-14,1.08,"A"
"USGS","0208675010",2009-06-15,0.9,"A"
"USGS","0208675010",2009-06-16,2.04,"A"
"USGS","0208675010",2009-06-17,1.51,"A"
"USGS","0208675010",2009-06-18,6.8,"A"
"USGS","0208675010",2009-06-19,1.36,"A"
"USGS","0208675010",2009-06-20,0.9,"A"
"USGS","0208675010",2009-06-21,0.69,"A"
"USGS","0208675010",2009-06-22,0.54,"A"
"USGS","0208675010",2009-06-23,0.43,"A"
"USGS","0208675010",2009-06-24,0.32,"A"
"USGS","0208675010",2009-06-25,0.26,"A"
"USGS","0208675010",2009-06-26,0.25,"A"
"USGS","0208675010",2009-06-27,0.25,"A"
"USGS","0208675010",2009-06-28,0.18,"A"
"USGS","0208675010",2009-06-29,0.18,"A"
"USGS","0208675010",2009-06-30,0.17,"A"
"USGS","0208675010",2009-07-01,0.16,"A"
"USGS","0208675010",2009-07-02,0.16,"A"
"USGS","0208675010",2009-07-03,0.16,"A"
"USGS","0208675010",2009-07-04,0.15,"A"
"USGS","0208675010",2009-07-05,0.4,"A"
"USGS","0208675010",2009-07-06,4.38,"A"
"USGS","0208675010",2009-07-07,0.59,"A"
"USGS","0208675010",2009-07-08,0.38,"A"
"USGS","0208675010",2009-07-09,0.56,"A"
"USGS","0208675010",2009-07-10,0.18,"A"
"USGS","0208675010",2009-07-11,0.21,"A"
"USGS","0208675010",2009-07-12,0.11,"A"
"USGS","0208675010",2009-07-13,4.86,"A"
"USGS","0208675010",2009-07-14,2.1,"A"
"USGS","0208675010",2009-07-15,0.42,"A"
"USGS","0208675010",2009-07-16,0.81,"A"
"USGS","0208675010",2009-07-17,2.84,"A"
"USGS","0208675010",2009-07-18,0.9,"A"
"USGS","0208675010",2009-07-19,0.15,"A"
"USGS","0208675010",2009-07-20,4.66,"A"
"USGS","0208675010",2009-07-21,0.79,"A"
"USGS","0208675010",2009-07-22,6.16,"A"
"USGS","0208675010",2009-07-23,4.76,"A"
"USGS","0208675010",2009-07-24,0.66,"A"
"USGS","0208675010",2009-07-25,0.42,"A"
"USGS","0208675010",2009-07-26,0.26,"A"
"USGS","0208675010",2009-07-27,0.19,"A"
"USGS","0208675010",2009-07-28,0.21,"A"
"USGS","0208675010",2009-07-29,0.16,"A"
"USGS","0208675010",2009-07-30,0.13,"A"
"USGS","0208675010",2009-07-31,0.13,"A"
"USGS","0208675010",2009-08-01,0.3,"A"
